;Name;Acceleration;Aggression;Agility;Balance;Ball control;Composure;Crossing;Curve;Dribbling;Finishing;Free kick accuracy;GK diving;GK handling;GK kicking;GK positioning;GK reflexes;Heading accuracy;Interceptions;Jumping;Long passing;Long shots;Marking;Penalties;Positioning;Reactions;Short passing;Shot power;Sliding tackle;Sprint speed;Stamina;Standing tackle;Strength;Vision;Volleys;Role;Preferred
7737;Y. Toyoda;55;62;66;46;59;68;39;35;54;71;33;14;6;13;7;15;74;29;72;39;56;22;64;71;68;54;68;17;54;59;28;79;44;53;UT;ST
7738;T. Nara;70;70;62;58;52;57;32;35;48;23;30;10;6;6;5;14;68;63;83;46;46;69;35;21;60;59;56;61;73;69;67;74;25;38;OB;CB
7739;T. Martínez;77;47;82;81;73;68;62;66;77;48;59;9;14;15;14;16;47;33;63;60;73;38;57;71;64;73;49;36;67;67;42;41;73;50;OB;CA
7740;R. Áldarez;50;43;69;45;40;54;32;15;24;23;37;63;66;62;68;75;23;14;62;39;32;20;41;13;57;35;28;15;36;34;13;72;47;20;OB;GK
7741;A. Zrelak;73;71;65;60;62;58;38;45;57;65;41;13;14;7;10;7;73;25;67;39;57;24;68;68;56;47;70;19;79;63;26;77;43;69;UT;ST
7742;M. Albertazzi;67;64;57;57;52;65;59;55;50;21;45;12;6;11;14;9;64;69;75;50;52;72;39;39;61;57;71;72;69;70;72;70;31;21;OB;LB
7743;M. Chrapek;65;58;76;73;70;62;56;48;67;62;40;6;14;8;14;11;49;64;73;67;65;61;65;61;55;72;57;63;59;49;66;57;68;42;OB;CD
7744;E. Burgos;44;69;48;43;50;57;32;33;48;23;26;15;9;13;7;12;66;69;45;45;27;70;35;32;58;52;58;64;45;68;69;82;29;29;OB;CB
7745;O. Rojas;68;50;72;67;63;65;66;65;64;29;41;15;8;11;11;14;64;63;75;65;64;66;65;33;66;66;67;65;66;76;64;64;64;48;OB;LB
7746;F. Nordkvelle;73;69;75;79;68;69;63;64;67;60;62;14;11;14;9;6;63;58;59;65;65;57;60;68;70;68;77;41;76;81;46;71;65;59;OB;CM
7747;M. Hongla;60;62;69;71;62;55;46;35;30;29;29;14;9;5;8;13;64;69;72;64;58;72;45;25;63;66;59;66;62;57;68;62;58;39;OB;CD
7748;K. Biliński;70;54;65;72;60;66;53;54;62;67;55;11;12;14;16;8;66;15;71;57;62;14;68;70;72;60;70;22;65;72;19;68;52;62;UT;ST
7749;J. Villarreal;77;61;86;83;68;67;58;76;73;60;69;14;9;8;16;10;51;39;78;58;71;42;62;63;63;63;70;39;72;60;34;51;66;61;ZA;LM
7750;H. Diallo;68;46;65;66;64;63;35;48;68;73;36;13;14;14;15;12;76;19;69;40;54;19;62;56;62;57;66;17;62;65;17;77;59;62;UT;ST
7751;Mauriçio Clerez;64;57;59;55;51;61;58;53;56;40;56;12;15;16;8;8;69;59;62;54;47;71;47;48;60;65;59;66;56;58;68;76;49;44;OB;CB
7752;T. Elrich;75;61;66;70;62;60;64;62;63;52;32;10;8;6;10;16;47;68;68;58;54;63;53;62;63;63;59;66;75;72;69;67;56;44;OB;LB
7753;M. Vermijl;86;79;72;64;64;48;65;40;66;48;35;13;11;10;12;7;58;61;63;41;38;62;50;63;69;56;73;61;83;77;63;69;54;28;UT;RW
7754;S. Romero;78;72;64;65;64;62;60;64;60;46;61;12;10;15;9;14;59;67;33;66;69;52;61;63;64;68;72;62;71;85;66;70;65;70;ZA;LM
7755;S. Cox;60;65;70;71;65;66;61;69;67;69;51;6;8;16;6;14;59;44;69;48;69;31;70;67;67;62;68;22;64;64;31;69;65;65;UT;ST
7756;M. Connolly;62;72;46;49;63;69;58;22;55;44;25;6;12;9;7;6;71;66;75;57;48;69;38;60;58;63;63;70;63;71;70;79;57;29;OB;CB
7757;A. Mannus;32;34;41;61;22;65;13;14;13;11;16;69;67;63;69;66;11;17;56;30;12;13;17;19;58;11;21;13;50;30;20;64;47;14;OB;GK
7758;L. Đorđević;77;33;75;58;67;60;60;58;71;64;66;13;13;13;15;8;69;18;62;57;68;17;69;65;67;65;60;17;79;56;21;60;62;59;UT;LW
7759;V. Yurchenko;67;44;74;72;73;70;64;61;71;64;60;14;7;14;6;7;48;57;65;70;60;54;63;59;64;73;63;51;65;60;48;54;65;52;OB;CA
7760;Choi Hyo Jin;77;66;74;80;65;60;67;57;69;54;49;6;16;11;7;11;49;76;78;63;60;63;51;68;70;67;62;61;64;61;64;73;57;57;ZA;RM
7761;R. Maeda;34;67;78;51;66;65;51;63;65;67;65;9;13;11;11;7;69;59;72;64;63;45;67;70;66;69;65;44;55;54;43;80;64;61;UT;ST
7762;F. Hartherz;74;73;62;56;66;59;70;59;60;34;56;14;10;14;9;9;67;60;65;62;58;57;44;49;66;66;73;62;77;77;66;82;52;50;ZA;LM
7763;A. Bellinghausen;67;84;62;62;64;70;70;70;65;53;63;7;12;14;10;12;58;62;71;63;62;60;58;65;69;66;70;68;76;81;67;71;64;59;OB;LB
7764;A. Frara;55;68;70;70;66;72;47;53;64;33;58;10;14;6;15;8;48;70;64;66;70;41;53;59;68;67;63;36;55;72;66;58;64;43;OB;CM
7765;Heliardo;58;79;57;40;64;69;43;43;54;68;26;6;8;7;11;9;72;22;51;40;53;13;63;68;68;56;76;18;51;72;12;84;45;60;UT;ST
7766;S. Díaz;68;33;72;78;73;61;62;70;72;71;73;13;6;10;11;14;53;22;35;58;70;29;57;68;63;61;71;37;63;57;32;36;69;68;UT;ST
7767;B. McKay;76;53;86;85;66;73;47;33;65;63;40;13;7;8;16;9;64;36;75;51;61;16;75;64;66;59;73;37;70;73;38;73;62;66;UT;ST
7768;N. Larsen;39;16;35;28;19;30;12;16;14;11;12;67;65;60;68;66;13;20;57;27;13;15;19;12;67;44;22;10;48;33;11;70;48;12;OB;GK
7769;F. Kiss;53;81;59;68;67;61;44;53;65;55;39;7;8;13;10;14;62;64;66;67;63;61;63;53;67;68;67;66;41;81;70;76;64;39;OB;CD
7770;A. Al Ghamdi;74;55;79;76;63;68;58;68;66;65;69;10;8;10;8;15;62;34;72;54;61;11;64;68;65;63;66;20;76;69;15;74;62;63;OB;CA
7771;H. Maïga;72;65;59;68;66;59;54;51;63;43;40;8;8;10;15;10;56;68;64;61;60;65;55;40;62;69;58;60;73;72;66;71;57;39;OB;LB
7772;V. Eicher;46;37;48;31;24;43;12;12;12;15;15;67;66;61;67;69;12;23;67;19;14;11;14;12;56;25;18;12;44;36;15;72;13;20;OB;GK
7773;J. Lozano;51;87;42;50;43;53;23;28;40;26;30;10;15;7;12;15;72;69;54;45;30;67;45;28;55;38;41;62;46;44;66;78;33;27;OB;CB
7774;F. Antunes;67;68;62;62;66;59;68;54;64;29;47;13;11;8;12;11;54;62;68;59;45;66;46;41;67;64;47;64;72;70;65;68;47;36;OB;LB
7775;D. Cox;72;57;73;91;65;64;68;64;67;62;66;1;1;1;1;1;44;21;83;64;66;26;60;64;57;64;63;18;74;77;22;70;68;59;OB;CA
7776;S. Heidinger;76;72;75;80;64;58;67;60;66;57;62;7;11;8;9;9;49;66;69;63;61;66;49;57;62;63;77;65;73;75;67;64;59;49;ZA;RM
7777;D. Lafferty;75;61;72;65;64;50;61;62;65;50;53;9;15;8;11;9;59;62;73;61;63;63;45;59;57;63;59;67;75;79;66;62;45;37;UT;LW
7778;Pedro Chirivella;66;60;74;64;67;74;52;55;65;40;48;13;14;12;8;14;55;68;47;63;40;57;49;53;64;74;62;64;67;73;61;62;66;40;OB;CM
7779;Lee Keun Ho;69;53;77;73;66;67;59;61;63;65;56;6;15;13;15;6;64;54;67;58;61;38;62;66;68;63;64;33;77;59;35;78;62;55;ZA;RM
7780;J. Gyau;91;54;86;83;65;70;61;63;68;55;45;12;6;15;15;6;40;25;78;50;58;34;51;64;68;61;63;34;91;76;31;63;51;53;UT;RW
7781;A. Seck;69;84;56;65;54;68;22;28;54;36;29;14;15;11;15;13;66;66;83;38;51;58;46;23;60;57;56;54;77;76;62;90;43;26;OB;CB
7782;D. Mesenhöler;50;21;34;50;21;28;18;18;12;15;15;68;71;57;63;66;14;21;70;25;18;16;23;17;66;32;19;12;48;32;20;63;15;17;OB;GK
7783;Oh Beom Seok;69;71;68;66;61;60;58;52;61;43;51;13;10;8;11;6;56;68;76;58;52;61;67;59;72;65;52;64;81;63;69;85;61;39;OB;CB
7784;A. Guliev;78;60;81;87;65;55;67;42;68;58;55;15;8;12;13;8;51;56;59;69;55;59;51;55;65;74;59;64;71;67;63;51;66;47;OB;CD
7785;S. Grippo;58;79;57;52;60;62;53;55;52;48;54;13;8;9;12;8;68;66;75;62;58;60;56;61;61;64;60;53;61;76;65;82;60;49;OB;CD
7786;K. Al Ghamdi;84;73;86;77;66;65;65;55;65;27;34;16;9;16;14;9;59;62;62;60;25;64;34;61;65;68;28;62;83;71;60;64;58;25;OB;RB
7787;S. Ojo;82;40;74;67;64;56;58;52;72;63;50;12;10;6;10;16;44;28;38;58;56;24;66;63;59;68;56;32;85;56;33;62;53;44;ZA;LM
7788;Ramon Lopes;64;40;71;50;70;60;57;53;69;65;50;8;9;13;13;13;68;29;58;58;64;36;56;63;64;63;62;32;64;72;27;81;62;59;UT;ST
7789;Paulo Lopes;38;30;55;56;14;39;14;17;17;12;11;67;73;57;67;64;12;18;75;33;9;14;20;10;60;32;18;19;43;32;15;68;36;14;OB;GK
7790;S. Franklin;74;70;66;71;59;63;63;61;63;50;62;9;15;15;12;16;61;64;73;55;55;65;53;61;63;65;71;63;77;73;64;69;55;38;OB;CB
7791;D. Moxey;74;65;69;64;62;61;73;53;64;54;39;6;8;8;9;9;60;65;60;57;60;64;39;44;63;61;57;65;62;73;66;68;54;44;OB;LB
7792;H. Olvera;72;61;62;69;66;30;70;69;55;48;26;9;8;9;8;12;50;67;80;55;51;70;35;40;49;64;48;69;69;66;69;68;60;47;OB;LB
7793;Wander;68;33;72;73;71;61;49;59;74;55;60;15;15;12;7;15;51;24;55;65;54;19;55;59;62;69;67;21;60;67;22;57;66;59;OB;CM
7794;Fepe Avedo;54;37;61;50;15;51;16;17;22;25;15;65;63;61;64;77;20;24;67;15;18;16;20;12;55;18;15;18;35;37;15;64;48;22;OB;GK
7795;Lee Sang Ho;81;67;87;88;60;65;63;56;64;64;67;15;11;6;15;7;48;64;83;62;66;51;65;54;65;65;67;41;86;88;41;62;62;59;UT;RW
7796;Carlos Delgado;63;64;62;60;56;59;37;46;46;25;47;11;15;15;14;6;63;74;77;57;39;64;59;42;63;56;51;70;62;65;66;64;51;51;OB;CB
7797;J. Jørgensen;66;75;76;72;62;67;59;60;60;51;48;12;15;9;7;13;57;66;82;64;56;65;56;43;64;66;74;59;60;83;61;82;56;55;OB;CD
7798;Mailson;77;62;71;70;76;61;64;62;74;56;59;10;7;7;7;15;53;36;56;67;50;26;66;63;67;71;59;21;72;68;31;58;64;56;UT;CF
7799;L. Varney;75;64;76;72;62;60;65;53;62;65;42;16;9;8;14;13;74;33;91;61;66;33;61;64;66;62;68;35;63;70;44;71;59;54;ZA;LM
7800;M. Kenlock;77;65;73;76;66;65;67;36;67;26;30;13;11;12;11;5;64;62;65;63;29;64;36;66;48;66;39;64;79;71;69;68;32;34;OB;LB
7801;Mateus Tangil;46;42;74;49;22;35;14;21;19;14;14;66;68;63;64;72;15;30;46;13;15;31;20;12;60;14;22;16;70;45;14;75;61;22;OB;GK
7802;Hwang Jin Sung;69;33;63;76;70;56;68;73;69;70;72;9;9;14;8;8;52;54;74;67;66;56;69;73;68;73;70;27;71;60;29;65;70;66;OB;CM
7803;H. Taniguchi;56;71;68;61;69;60;54;55;62;63;60;12;8;11;14;6;64;61;78;64;56;67;54;58;60;67;66;63;58;60;65;69;65;65;OB;CB
7804;C. Evans;59;74;65;72;72;59;56;58;56;53;54;13;12;6;15;15;59;72;61;67;66;73;47;44;68;73;68;64;66;80;68;65;56;51;OB;CD
7805;K. Paal;78;67;74;80;70;71;64;67;72;42;50;11;15;9;13;12;60;69;77;61;49;64;45;65;64;66;62;64;79;56;65;66;68;58;UT;LW
7806;Y. Yoshida;74;60;78;88;64;35;67;58;65;22;31;14;9;12;8;11;53;63;78;50;35;61;30;49;65;65;47;65;71;70;70;60;62;24;OB;RB
7807;M. Torrén;72;48;66;67;51;52;39;60;53;39;50;13;15;9;16;11;67;67;84;55;51;71;35;49;57;56;53;67;73;73;68;76;47;39;OB;CB
7808;K. Madu;78;68;73;76;64;65;67;58;71;46;29;6;9;14;9;11;61;63;75;65;65;61;39;62;62;67;70;62;76;70;65;74;64;61;OB;LB
7809;Y. Konno;38;70;59;63;57;76;57;30;46;53;31;11;12;9;15;14;70;66;66;69;59;65;29;44;56;75;46;67;44;55;67;71;67;39;OB;CB
7810;L. Trotter;65;76;57;66;67;63;61;54;65;62;50;15;11;11;16;16;65;65;75;66;61;50;71;65;66;67;67;56;63;67;65;79;67;58;OB;CD
7811;S. Brandy;73;74;72;68;65;68;66;60;66;64;55;7;7;16;11;7;60;22;84;56;59;22;49;67;66;66;71;31;77;80;31;74;64;61;ZA;RM
7812;E. Soriano;71;58;66;78;61;66;48;59;65;67;45;9;11;9;15;12;68;23;74;51;54;26;61;70;61;55;69;19;76;88;21;77;41;62;UT;ST
7813;M. Smedberg-Dalence;55;63;58;54;64;73;78;77;58;51;73;14;11;10;14;12;50;51;31;70;67;44;66;64;68;68;79;54;66;79;59;78;75;55;ZA;RM
7814;P. Kirkevold;64;77;58;55;64;61;64;63;62;67;67;14;6;13;11;16;64;26;61;49;61;20;60;67;63;62;70;26;63;81;27;82;56;58;UT;ST
7815;M. Baudry;65;60;63;45;55;68;33;31;60;28;36;12;8;6;12;6;72;66;68;57;29;67;40;28;61;61;43;67;50;69;66;70;44;27;OB;CD
7816;M. Sivakow;32;63;54;50;68;58;56;61;59;51;54;10;13;10;16;14;69;60;67;65;70;67;53;65;65;68;71;64;32;55;70;76;64;64;OB;CD
7817;O. Occéan;53;71;65;65;62;68;56;53;57;64;41;6;15;12;9;15;73;40;84;34;61;23;69;66;66;64;75;25;62;74;34;90;60;60;UT;ST
7818;J. Nikolaou;61;83;58;60;54;48;40;53;38;24;56;12;10;5;7;12;58;64;78;61;26;66;57;21;62;65;41;71;63;68;71;83;57;35;OB;CB
7819;C. Tasoulis;75;63;68;70;64;68;69;56;65;51;58;10;14;12;11;11;56;62;60;67;61;64;53;57;58;65;63;66;73;73;63;66;59;40;OB;LB
7820;F. González;72;56;73;68;71;62;66;59;69;65;35;14;7;10;10;12;63;46;75;59;63;20;65;68;61;64;68;22;63;64;24;74;65;40;UT;ST
7821;M. Falzerano;85;55;82;93;69;60;60;57;70;55;47;16;15;12;13;13;31;54;61;58;54;26;51;62;68;61;61;52;87;64;58;56;54;58;ZA;LM
7822;W. Kamavuaka;66;81;52;52;60;59;53;47;52;33;50;13;8;8;12;15;69;69;69;54;46;65;53;31;67;60;65;72;69;75;71;78;49;42;OB;CB
7823;M. Rosales;68;59;60;62;57;61;65;57;61;31;35;14;12;12;12;10;60;55;63;58;33;64;41;50;59;62;43;74;70;85;71;58;45;33;OB;LB
7824;A. Gabr;65;66;63;60;41;65;34;34;42;25;22;14;7;14;8;7;60;62;66;66;42;68;24;22;53;57;56;75;62;66;71;78;35;33;OB;CB
7825;M. Guanini;32;70;49;47;38;41;34;34;32;18;32;15;10;10;6;8;74;69;46;49;21;64;49;26;64;52;39;65;33;73;66;85;32;31;OB;CB
7826;J. Brix-Damborg;49;82;59;74;59;61;56;64;45;23;62;7;6;11;8;7;55;62;72;59;57;55;50;57;71;66;60;63;56;88;65;79;66;41;OB;CM
7827;Martínez;59;66;49;57;39;59;33;33;43;35;32;12;8;6;8;6;72;65;70;36;27;65;47;32;58;53;44;69;56;68;71;75;40;32;OB;CB
7828;M. de los Santos;55;74;48;51;38;58;32;24;35;18;22;13;7;9;13;7;67;68;76;42;25;66;34;24;60;48;42;61;62;68;67;80;37;27;OB;CB
7829;F. Farnolle;39;39;27;21;18;48;18;12;9;10;15;67;64;66;68;64;12;24;62;23;10;11;18;15;66;29;16;14;45;35;17;82;21;11;OB;GK
7830;M. Lorenz;74;71;71;73;64;59;72;75;65;49;71;15;7;7;6;9;57;52;71;70;57;46;54;61;62;67;73;53;75;71;51;61;68;51;ZA;LM
7831;M. Polaček;39;16;34;28;19;28;19;11;13;19;17;68;61;78;68;63;14;23;50;21;17;16;18;17;65;27;24;18;44;31;18;75;51;12;OB;GK
7832;Oswaldinato;55;64;47;60;71;61;71;61;72;66;55;13;13;7;8;1;56;63;55;77;75;62;56;55;64;61;81;64;56;72;64;81;62;63;OB;CM
7833;H. Kanazono;61;52;48;53;62;57;23;27;56;68;24;14;8;14;6;8;71;17;72;25;71;23;56;70;66;59;64;15;62;53;21;80;45;62;UT;ST
7834;R. Azeez;73;70;73;83;70;64;49;53;60;37;46;8;7;14;10;11;53;69;92;63;60;52;58;49;54;70;73;63;79;87;70;47;65;41;OB;CA
7835;Marcelo Djaló;41;67;28;32;52;37;24;30;39;22;30;9;13;15;11;12;65;58;61;29;19;69;32;28;52;32;61;66;52;56;77;90;28;25;OB;CB
7836;Eneko Capilla;69;46;73;74;66;66;50;67;74;60;61;11;13;12;9;7;41;21;49;62;55;40;59;58;60;70;49;47;59;37;45;43;72;50;OB;CM
7837;J. North;63;64;60;55;53;68;53;24;39;47;52;13;10;6;13;10;62;68;74;53;48;63;42;50;61;62;60;65;64;74;66;78;45;49;OB;CB
7838;F. Kadir;58;59;65;57;67;71;79;67;70;66;70;10;13;16;13;8;49;49;57;70;67;27;70;65;59;68;74;41;63;42;38;58;68;59;OB;CM
7839;J. Wójcicki;75;31;75;45;63;57;70;59;64;58;38;7;15;8;11;8;58;56;75;62;61;64;41;59;62;63;56;70;77;81;63;80;62;60;OB;RB
7840;F. Cañaveral;69;66;63;69;64;59;58;41;64;49;37;11;6;16;13;13;58;55;67;68;67;63;64;61;68;69;71;62;74;80;65;76;65;58;OB;CD
7841;Manel;54;58;42;52;66;54;38;42;62;68;37;15;9;12;6;5;70;24;67;31;62;25;66;67;59;64;74;28;57;52;33;72;56;67;UT;ST
7842;J. Arvidsson;61;66;60;66;62;56;76;70;56;46;70;13;10;7;16;7;63;67;72;64;52;62;62;44;62;64;57;66;62;72;64;73;66;39;OB;LB
7843;M. Mak;81;43;93;77;66;64;63;55;68;63;56;7;15;10;12;13;53;41;84;59;66;36;51;62;61;60;56;41;82;55;38;58;65;59;OB;CA
7844;K. Salazar;73;41;73;86;69;60;62;53;71;47;36;6;13;7;10;6;34;25;67;64;53;31;46;61;52;70;46;37;71;69;32;36;71;50;OB;CA
7845;G. Faivre;31;24;33;40;17;22;10;11;10;13;11;66;71;62;68;68;10;11;34;18;6;13;17;11;53;34;16;12;40;30;15;52;12;12;OB;GK
7846;D. Hoesen;74;51;77;63;70;68;52;70;70;62;65;16;13;13;9;9;57;28;69;43;60;25;55;67;68;58;70;28;74;62;28;67;60;72;ZA;RM
7847;A. Calisir;60;82;64;61;56;64;48;42;47;25;22;15;7;8;7;8;58;62;88;57;27;71;56;38;55;58;44;68;59;65;66;71;53;28;OB;CB
7848;B. Jopek;76;58;79;80;72;66;63;72;71;58;70;9;8;11;11;9;47;56;66;64;65;48;40;60;65;70;71;49;70;68;47;61;68;51;OB;CA
7849;J. Hardeveld;66;65;62;58;64;67;60;64;64;29;56;13;6;12;14;6;62;72;69;54;36;63;60;48;63;65;59;70;63;68;69;70;45;32;OB;CB
7850;J. Kliment;67;39;73;68;69;63;64;59;69;63;49;14;10;12;10;10;65;32;77;51;55;20;55;64;66;66;68;21;71;64;28;67;60;62;OB;CA
7851;Y. Suzuki;71;29;69;64;65;57;55;47;64;68;40;14;5;8;8;8;77;38;74;53;53;18;65;57;64;64;67;25;73;84;45;69;46;67;ZA;RM
7852;E. Stevens;71;62;67;63;68;70;69;66;65;36;53;9;16;8;7;15;55;64;59;50;34;62;52;57;63;63;57;64;70;75;64;66;55;24;UT;LW
7853;K. Ellis;68;66;65;81;64;65;57;54;58;56;51;11;11;12;15;10;62;68;74;63;50;66;44;59;65;66;59;66;69;63;66;69;37;55;OB;CB
7854;T. Ouwejan;66;63;70;70;68;68;66;59;64;39;65;7;12;13;7;12;54;60;59;65;65;64;40;57;66;69;60;63;71;74;66;66;65;48;OB;LB
7855;Z. El Azzouzi;77;69;80;76;72;65;53;44;70;65;38;14;10;6;6;13;55;18;70;33;60;14;60;64;60;63;72;14;74;64;18;57;58;65;UT;ST
7856;M. Hvilsom;76;64;64;61;62;64;58;55;59;62;34;15;11;6;7;12;62;32;65;56;56;40;62;69;71;63;67;21;77;83;31;79;57;65;ZA;LM
7857;M. Szczepaniak;73;55;71;64;66;62;51;62;63;68;44;12;13;9;11;16;63;33;72;53;59;18;64;70;65;59;66;19;71;59;21;61;53;53;ZA;LM
7858;J. Sims;86;37;81;78;68;61;60;58;73;59;45;10;10;13;11;9;42;20;45;58;53;26;67;54;62;65;64;36;80;60;31;57;57;54;ZA;LM
7859;M. Kudo;76;59;69;68;66;64;53;39;64;63;37;12;12;6;10;7;64;18;59;46;63;18;69;67;65;60;68;19;77;73;20;61;58;57;UT;ST
7860;N. Busch Thor;61;73;71;75;65;67;61;48;62;48;30;12;6;12;11;6;55;67;67;72;51;54;40;43;72;67;55;55;57;71;58;75;68;45;OB;CM
7861;M. Fathi;74;34;67;73;60;47;67;62;70;64;32;8;13;14;8;7;49;24;42;62;58;28;52;64;58;67;65;43;80;68;39;51;58;64;ZA;LM
7862;T. Browning;68;60;56;55;65;52;52;28;46;25;17;10;13;7;9;12;64;64;68;45;35;67;43;41;64;64;48;66;76;66;72;77;27;33;OB;CB
7863;J. Möckel;51;72;49;46;42;68;39;32;40;22;28;6;16;7;11;14;72;62;62;50;42;69;37;33;64;63;56;59;52;34;67;76;37;31;OB;CB
7864;B. Djimsiti;36;72;44;49;63;63;53;42;34;36;30;10;6;13;10;10;65;65;34;60;30;66;38;55;59;65;52;66;37;67;68;78;56;32;OB;CB
7865;J. Bijlow;44;22;32;30;16;40;10;10;11;10;10;70;66;68;64;66;11;10;65;33;10;10;16;10;62;20;23;14;43;28;12;55;40;10;OB;GK
7866;L. Kassi;78;60;77;60;66;56;63;62;66;62;56;11;15;10;16;6;48;56;62;60;63;47;59;60;59;66;68;54;76;74;53;61;67;66;OB;CM
7867;H. Rivera;72;29;80;74;69;56;69;71;67;61;68;10;14;7;11;13;38;34;71;57;65;28;69;63;61;64;59;23;69;72;32;60;70;54;OB;CA
7868;Asdrúbal;76;79;88;78;71;63;56;45;70;61;52;11;12;15;13;9;51;27;83;53;57;19;64;68;67;68;69;22;75;77;17;76;55;80;UT;ST
7869;J. Hernández;71;35;60;59;64;65;39;50;65;71;38;9;5;10;13;7;65;15;61;36;65;17;67;57;65;55;73;18;70;57;14;70;46;69;UT;ST
7870;T. Röcher;79;54;79;72;65;55;64;54;71;62;45;10;13;11;13;8;56;18;71;57;59;14;48;66;58;63;66;10;76;62;12;70;62;57;UT;LW
7871;Gerson;71;40;75;79;78;61;61;73;74;59;47;14;13;13;9;9;44;35;62;72;49;32;55;57;60;74;59;35;67;67;38;59;67;54;OB;CM
7872;J. Brayford;65;62;79;76;57;71;66;35;60;36;39;16;13;12;14;11;65;67;80;66;43;64;36;48;71;63;59;63;66;76;64;77;52;45;UT;RW
7873;J. Archer;43;25;50;40;24;32;15;20;20;16;13;68;67;65;67;68;16;16;61;26;13;15;28;11;53;30;18;14;42;27;18;57;31;11;OB;GK
7874;K. Andersen;67;84;65;63;66;71;62;54;66;53;55;11;9;15;11;8;44;59;72;63;59;59;62;69;71;70;62;61;61;50;64;64;71;55;OB;CD
7875;Lee Yun Pyo;50;66;68;66;59;60;43;44;58;39;38;8;13;12;11;13;70;64;78;41;57;70;51;13;60;49;61;67;45;73;68;74;50;51;OB;CB
7876;F. Casarini;84;74;73;66;72;64;67;75;69;53;66;13;10;7;8;5;58;56;51;62;70;50;68;67;63;70;68;52;84;82;52;69;61;66;OB;CD
7877;A. Messaoud;66;51;68;66;71;63;61;71;69;64;67;6;14;6;13;15;39;34;44;64;66;19;58;66;56;69;59;24;60;57;22;63;64;62;OB;CA
7878;L. Gülen;77;56;70;73;64;58;38;38;58;24;30;8;11;15;14;13;67;64;78;59;22;65;44;43;68;61;42;65;78;78;71;80;40;37;OB;CB
7879;J. Croux;82;58;83;80;71;65;62;70;75;60;68;15;14;11;9;14;29;30;60;50;65;22;48;55;58;59;72;23;79;68;28;57;58;70;ZA;LM
7880;G. Wegkamp;64;57;51;38;63;69;55;38;62;65;46;14;10;8;13;6;68;27;62;38;60;25;67;65;62;61;69;28;67;77;30;87;54;58;UT;CF
7881;J. Delgado;81;55;81;75;70;64;59;63;68;65;35;14;6;13;10;11;58;40;73;58;63;37;64;67;64;61;63;24;79;59;30;71;61;59;ZA;RM
7882;J. Grant;73;60;81;71;67;58;58;62;69;66;65;10;11;15;11;11;47;43;62;64;64;44;48;54;56;69;63;50;75;78;56;66;64;54;OB;CA
7883;A. Otero;49;23;35;46;19;27;15;16;19;16;16;59;71;70;76;63;18;23;51;20;20;20;25;20;53;25;25;19;45;36;16;57;28;18;OB;GK
7884;P. Billing;58;61;57;59;68;64;44;61;64;58;43;11;7;10;14;13;66;65;62;69;72;60;46;60;64;70;74;62;65;62;67;74;67;62;OB;CM
7885;M. Zetterer;39;27;32;40;23;39;17;14;17;16;14;68;66;71;64;70;18;19;68;18;14;16;15;13;60;24;22;12;44;38;16;69;27;16;OB;GK
7886;H. Halldórsson;25;21;25;59;16;50;18;11;10;8;13;69;62;61;68;68;9;13;66;26;12;11;41;9;66;36;48;15;48;31;18;65;22;9;OB;GK
7887;E. Herrera;60;67;59;56;67;61;37;61;65;65;33;8;13;10;6;10;66;12;65;43;56;22;75;70;57;66;75;18;61;55;17;74;52;68;UT;ST
7888;Jonatas Belusso;78;39;70;69;68;51;48;41;65;71;44;12;11;14;11;8;66;22;61;52;64;27;66;60;56;61;66;28;75;60;34;63;59;49;UT;LW
7889;J. Jackson;45;35;66;54;70;69;71;54;57;60;69;10;6;11;13;13;59;54;32;67;74;58;73;68;61;68;75;65;35;54;64;69;73;65;OB;CM
7890;Fidelis;62;85;67;59;62;66;42;55;56;70;36;14;12;8;7;13;72;21;74;50;58;24;64;66;64;57;77;18;51;69;25;74;45;64;UT;CF
7891;D. Wydra;72;73;72;63;67;56;54;59;64;63;49;8;9;9;13;11;52;61;65;66;67;65;57;54;62;69;65;67;69;73;66;67;59;59;OB;RB
7892;M. Kuster;29;22;39;36;25;27;7;17;17;15;20;65;70;63;63;66;13;16;52;19;13;15;18;6;65;27;20;21;31;20;24;58;48;13;OB;GK
7893;J. Cummings;71;60;65;72;67;67;33;66;71;70;35;15;7;11;10;12;60;45;58;43;63;25;68;65;63;58;69;32;72;65;40;59;55;59;UT;ST
7894;C. Soukou;82;42;68;73;67;57;62;63;67;63;50;11;9;7;12;5;44;23;66;60;64;25;52;59;57;64;72;27;83;67;35;76;60;57;UT;ST
7895;M. Nizam;67;79;65;64;64;63;65;66;64;31;60;13;14;11;9;11;67;65;68;57;66;67;45;58;65;62;71;61;68;64;66;68;60;58;OB;LB
7896;S. Pettinari;68;66;74;72;68;63;55;57;67;66;52;6;11;10;6;14;60;13;80;53;57;19;55;67;68;57;66;26;75;75;28;71;48;58;UT;ST
7897;R. Mandanda;41;35;38;41;20;31;16;13;10;11;20;67;65;64;65;70;10;24;64;20;9;9;13;13;57;21;18;12;49;39;11;78;23;9;OB;GK
7898;J. Blackman;43;23;46;33;25;28;13;18;14;19;12;65;63;66;65;69;18;44;57;18;16;19;41;43;66;31;23;12;37;44;13;58;29;17;OB;GK
